id,year,round_number,session_number,position,points,win_count,highest_finish,is_eligible,adjustment_type,round_id,season_id,session_id,team_id
1,1950,1,2,,0,1,1,f,0,1,,1,1
2,1950,1,2,,0,0,4,f,0,1,,1,5
3,1950,1,2,,0,0,6,f,0,1,,1,4
4,1950,1,2,,0,0,9,f,0,1,,1,2
5,1950,1,2,,0,0,,f,0,1,,1,3
6,1950,2,2,,0,2,1,f,0,2,,4,1
7,1950,2,2,,0,0,2,f,0,2,,4,6
8,1950,2,2,,0,0,3,f,0,2,,4,2
9,1950,2,2,,0,0,4,f,0,2,,4,5
10,1950,2,2,,0,0,6,f,0,2,,4,4
11,1950,2,2,,0,0,,f,0,2,,4,3
12,1950,2,2,,0,0,,f,0,2,,4,8
13,1950,2,2,,0,0,,f,0,2,,4,7
14,1950,3,2,,0,2,1,f,0,3,,7,1
15,1950,3,2,,0,1,1,f,0,3,,7,10
16,1950,3,2,,0,0,2,f,0,3,,7,11
17,1950,3,2,,0,0,2,f,0,3,,7,6
18,1950,3,2,,0,0,3,f,0,3,,7,2
19,1950,3,2,,0,0,4,f,0,3,,7,5
20,1950,3,2,,0,0,6,f,0,3,,7,4
21,1950,3,2,,0,0,6,f,0,3,,7,23
22,1950,3,2,,0,0,8,f,0,3,,7,19
23,1950,3,2,,0,0,9,f,0,3,,7,22
24,1950,3,2,,0,0,11,f,0,3,,7,21
25,1950,3,2,,0,0,12,f,0,3,,7,20
26,1950,3,2,,0,0,16,f,0,3,,7,18
27,1950,3,2,,0,0,17,f,0,3,,7,17
28,1950,3,2,,0,0,22,f,0,3,,7,16
29,1950,3,2,,0,0,23,f,0,3,,7,15
30,1950,3,2,,0,0,24,f,0,3,,7,14
31,1950,3,2,,0,0,,f,0,3,,7,3
32,1950,3,2,,0,0,,f,0,3,,7,8
33,1950,3,2,,0,0,,f,0,3,,7,7
34,1950,3,2,,0,0,,f,0,3,,7,13
35,1950,3,2,,0,0,,f,0,3,,7,12
36,1950,3,2,,0,0,,f,0,3,,7,9
37,1950,4,2,,0,3,1,f,0,4,,10,1
38,1950,4,2,,0,1,1,f,0,4,,10,10
39,1950,4,2,,0,0,2,f,0,4,,10,11
40,1950,4,2,,0,0,2,f,0,4,,10,6
41,1950,4,2,,0,0,3,f,0,4,,10,2
42,1950,4,2,,0,0,3,f,0,4,,10,5
43,1950,4,2,,0,0,6,f,0,4,,10,4
44,1950,4,2,,0,0,6,f,0,4,,10,23
45,1950,4,2,,0,0,8,f,0,4,,10,19
46,1950,4,2,,0,0,9,f,0,4,,10,22
47,1950,4,2,,0,0,11,f,0,4,,10,21
48,1950,4,2,,0,0,12,f,0,4,,10,20
49,1950,4,2,,0,0,16,f,0,4,,10,18
50,1950,4,2,,0,0,17,f,0,4,,10,17
51,1950,4,2,,0,0,22,f,0,4,,10,16
52,1950,4,2,,0,0,23,f,0,4,,10,15
53,1950,4,2,,0,0,24,f,0,4,,10,14
54,1950,4,2,,0,0,,f,0,4,,10,3
55,1950,4,2,,0,0,,f,0,4,,10,8
56,1950,4,2,,0,0,,f,0,4,,10,7
57,1950,4,2,,0,0,,f,0,4,,10,13
58,1950,4,2,,0,0,,f,0,4,,10,12
59,1950,4,2,,0,0,,f,0,4,,10,9
60,1950,5,2,,0,4,1,f,0,5,,13,1
61,1950,5,2,,0,1,1,f,0,5,,13,10
62,1950,5,2,,0,0,2,f,0,5,,13,11
63,1950,5,2,,0,0,2,f,0,5,,13,6
64,1950,5,2,,0,0,3,f,0,5,,13,5
65,1950,5,2,,0,0,3,f,0,5,,13,2
66,1950,5,2,,0,0,6,f,0,5,,13,4
67,1950,5,2,,0,0,6,f,0,5,,13,23
68,1950,5,2,,0,0,8,f,0,5,,13,19
69,1950,5,2,,0,0,9,f,0,5,,13,3
70,1950,5,2,,0,0,9,f,0,5,,13,22
71,1950,5,2,,0,0,11,f,0,5,,13,21
72,1950,5,2,,0,0,12,f,0,5,,13,20
73,1950,5,2,,0,0,16,f,0,5,,13,18
74,1950,5,2,,0,0,17,f,0,5,,13,17
75,1950,5,2,,0,0,22,f,0,5,,13,16
76,1950,5,2,,0,0,23,f,0,5,,13,15
77,1950,5,2,,0,0,24,f,0,5,,13,14
78,1950,5,2,,0,0,,f,0,5,,13,8
79,1950,5,2,,0,0,,f,0,5,,13,7
80,1950,5,2,,0,0,,f,0,5,,13,13
81,1950,5,2,,0,0,,f,0,5,,13,12
82,1950,5,2,,0,0,,f,0,5,,13,9
83,1950,6,2,,0,5,1,f,0,6,,16,1
84,1950,6,2,,0,1,1,f,0,6,,16,10
85,1950,6,2,,0,0,2,f,0,6,,16,6
86,1950,6,2,,0,0,2,f,0,6,,16,11
87,1950,6,2,,0,0,3,f,0,6,,16,5
88,1950,6,2,,0,0,3,f,0,6,,16,2
89,1950,6,2,,0,0,4,f,0,6,,16,8
90,1950,6,2,,0,0,6,f,0,6,,16,4
91,1950,6,2,,0,0,6,f,0,6,,16,23
92,1950,6,2,,0,0,8,f,0,6,,16,19
93,1950,6,2,,0,0,9,f,0,6,,16,3
94,1950,6,2,,0,0,9,f,0,6,,16,22
95,1950,6,2,,0,0,11,f,0,6,,16,21
96,1950,6,2,,0,0,12,f,0,6,,16,20
97,1950,6,2,,0,0,16,f,0,6,,16,18
98,1950,6,2,,0,0,17,f,0,6,,16,17
99,1950,6,2,,0,0,22,f,0,6,,16,16
100,1950,6,2,,0,0,23,f,0,6,,16,15
101,1950,6,2,,0,0,24,f,0,6,,16,14
102,1950,6,2,,0,0,,f,0,6,,16,7
103,1950,6,2,,0,0,,f,0,6,,16,13
